Date,AAPL,ADBE,AMZN,AVGO,BAC,CRM,CSCO,CVX,DIS,GOOGL,IBM,INTC,JNJ,JPM,KO,META,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,QCOM,T,TSLA,TXN,V,WMT,XOM
2020-01-02,72.71607971191406,334.42999267578125,94.90049743652344,27.98617935180664,31.47291374206543,166.06246948242188,41.45569610595703,97.22525787353516,146.39154052734375,68.18681335449219,101.91886901855469,53.666473388671875,127.06417846679688,121.47722625732422,47.09474563598633,208.981689453125,153.63067626953125,329.80999755859375,5.972710132598877,49.821014404296875,117.63423919677734,29.490598678588867,108.41987609863281,79.3844985961914,19.815223693847656,28.68400001525879,111.91368865966797,184.48733520507812,36.78257751464844,55.63117218017578
2020-01-03,72.0091323852539,331.80999755859375,93.74849700927734,27.274349212646484,30.819438934326172,165.2470245361328,40.77933120727539,96.88896942138672,144.71226501464844,67.83010864257812,101.10604095458984,53.01372146606445,125.59304809570312,119.87415313720703,46.83781433105469,207.8759307861328,151.7177276611328,325.8999938964844,5.87711238861084,49.64556121826172,117.46965789794922,29.332380294799805,107.69068145751953,77.88968658447266,19.917203903198242,29.534000396728516,110.42807006835938,183.0200958251953,36.457862854003906,55.18392562866211
2020-01-06,72.5829086303711,333.7099914550781,95.14399719238281,27.233549118041992,30.775278091430664,172.48658752441406,40.92488098144531,96.56071472167969,143.8726348876953,69.63805389404297,100.92539978027344,52.86376190185547,125.43639373779297,119.77884674072266,46.820682525634766,211.79098510742188,152.10986328125,335.8299865722656,5.901757717132568,49.90413284301758,117.92002868652344,29.294708251953125,107.84005737304688,77.43321228027344,19.937599182128906,30.1026668548584,109.65933990478516,182.62432861328125,36.383644104003906,55.60763168334961
2020-01-07,72.24153900146484,333.3900146484375,95.34300231933594,27.139795303344727,30.57217025756836,175.0224151611328,40.65946960449219,95.32765197753906,143.9220428466797,69.50354766845703,100.99312591552734,51.98166275024414,126.20240783691406,117.74251556396484,46.46098327636719,212.24920654296875,150.72296142578125,330.75,5.973209857940674,50.01494216918945,116.06656646728516,29.196760177612305,107.17236328125,79.6351089477539,20.01408576965332,31.270666122436523,111.77549743652344,182.1416473388672,36.04656219482422,55.15253829956055
2020-01-08,73.40364074707031,337.8699951171875,94.59850311279297,26.80124855041504,30.881254196166992,176.34506225585938,40.68516159057617,94.23876190185547,143.6256866455078,69.99825286865234,101.8360824584961,52.0169563293457,126.18502807617188,118.66104125976562,46.546630859375,214.4010009765625,153.12374877929688,339.260009765625,5.98441219329834,50.20973587036133,116.6641845703125,29.430328369140625,107.62918090820312,79.40238952636719,20.07527732849121,32.80933380126953,112.07779693603516,185.25955200195312,35.9228630065918,54.32081985473633
2020-01-09,74.96278381347656,340.45001220703125,95.05249786376953,26.585960388183594,30.934234619140625,178.60244750976562,40.513919830322266,94.08665466308594,143.06265258789062,70.73309326171875,102.91230773925781,52.308040618896484,126.55931091308594,119.09431457519531,47.39447784423828,217.4692840576172,155.03672790527344,335.6600036621094,6.050136566162109,50.44163513183594,116.74213409423828,29.302234649658203,108.80644226074219,80.47648620605469,20.13676643371582,32.089332580566406,113.43386840820312,186.5434112548828,36.29396438598633,54.7366828918457
2020-01-10,75.13227081298828,339.80999755859375,94.15799713134766,25.974830627441406,30.678142547607422,179.19911193847656,40.35124969482422,93.22993469238281,142.855224609375,71.18992614746094,102.87467956542969,51.99049377441406,126.27204132080078,117.90719604492188,47.55719757080078,217.2301788330078,154.31936645507812,329.04998779296875,6.082499980926514,50.506553649902344,116.51695251464844,29.754310607910156,108.91184997558594,80.7897720336914,20.01740264892578,31.876667022705078,112.28509521484375,187.04537963867188,35.99087905883789,54.25020217895508
2020-01-13,76.73741149902344,345.6300048828125,94.56500244140625,26.144973754882812,30.96072769165039,182.82884216308594,41.070430755615234,93.40606689453125,142.12425231933594,71.7414321899414,102.80693817138672,52.56385040283203,126.82916259765625,118.8863296508789,48.0710563659668,221.06553649902344,156.17495727539062,338.9200134277344,6.273200035095215,50.62714767456055,118.24915313720703,29.694032669067383,109.7113265991211,81.42524719238281,19.773473739624023,34.990665435791016,112.2419204711914,188.5512237548828,35.83626937866211,54.768062591552734
2020-01-14,75.70121765136719,344.6300048828125,93.47200012207031,26.752639770507812,31.190324783325195,181.10842895507812,40.91631317138672,93.11782836914062,143.42813110351562,71.2711410522461,102.21988677978516,52.42272186279297,127.54296112060547,120.27275848388672,47.95972442626953,218.2263946533203,155.0749969482422,338.69000244140625,6.156190395355225,50.90542221069336,118.52630615234375,30.19132423400879,109.54440307617188,81.05827331542969,19.768285751342773,35.861331939697266,112.86378479003906,189.2462158203125,35.92903518676758,54.29728317260742
2020-01-15,75.37678527832031,342.94000244140625,93.10099792480469,26.31511688232422,30.616323471069336,180.05430603027344,41.104679107666016,92.9817123413086,142.5588836669922,71.7000732421875,102.8219985961914,51.99049377441406,127.96947479248047,118.47038269042969,48.5592155456543,220.3084259033203,156.07933044433594,339.07000732421875,6.113619804382324,50.79410934448242,120.56163024902344,30.643402099609375,110.66011810302734,80.26164245605469,19.65410804748535,34.56666564941406,111.56819152832031,192.86610412597656,35.65071487426758,54.21097183227539
