Stock,Sample Mean,KDE Mean,Sample Std,KDE Std
AAPL,0.00370924949253271,0.00370924949253271,0.045672800938521836,0.045526178406250256
ADBE,9.054349966379031e-05,9.054349966379031e-05,0.05443801463291228,0.054263253300274525
AMZN,-0.000703838679343928,-0.000703838679343928,0.05084367108730107,0.05068044860802203
AVGO,0.004371580562332553,0.004371580562332553,0.04664540467873007,0.0464956598149974
BAC,0.00010385449637971236,0.00010385449637971236,0.05458999684481306,0.054414747606544134
CRM,-0.0014471139791362535,-0.0014471139791362535,0.058458949739828424,0.05827128007498066
CSCO,0.0005543709884602402,0.0005543709884602402,0.03771398496265322,0.03759291246734644
CVX,0.003434847859586254,0.003434847859586254,0.05761507951652934,0.05743011891235896
DIS,-0.0033493431936946435,-0.0033493431936946435,0.04825705906463563,0.04810214033719518
GOOGL,0.0016623227950484582,0.0016623227950484582,0.04311747901685639,0.04297905978640175
IBM,0.0015460666509350862,0.0015460666509350862,0.04198724984308695,0.04185245896605272
INTC,-0.004695044581493069,-0.004695044581493069,0.04931503586670711,0.04915672073627371
JNJ,0.0017952654532192773,0.0017952654532192773,0.027393282380023563,0.02730534224175186
JPM,0.0003462848357464565,0.0003462848357464565,0.04971978819280728,0.04956017369360788
KO,0.001570086417422819,0.001570086417422819,0.038370980925977766,0.03824779928890925
META,-0.003528416746257257,-0.003528416746257257,0.06197908743489754,0.061780117138334846
MSFT,0.002830699435474475,0.002830699435474475,0.03977536118016929,0.03964767108763252
NFLX,-0.0006411670297126592,-0.0006411670297126592,0.06958611285631074,0.06936272186937166
NVDA,0.005834533819607975,0.005834533819607975,0.06802716032104243,0.06780877401005304
ORCL,0.0030060732310292536,0.0030060732310292536,0.0391945273224169,0.03906870186986942
PEP,0.002375722730498393,0.002375722730498393,0.03304336882505824,0.032937290320732754
PFE,0.0028059384441779713,0.0028059384441779713,0.03955016868321311,0.03942320152190617
PG,0.0018332002217879774,0.0018332002217879774,0.030281332187487953,0.030184120597336894
QCOM,0.0019147887973381989,0.0019147887973381989,0.05557526514673018,0.05539685292019635
T,-0.0013871932064102566,-0.0013871932064102566,0.03889796544987068,0.03877309204431472
TSLA,0.009154516328537504,0.009154516328537504,0.09978947873501161,0.09946912645169351
TXN,0.0021574087944037736,0.0021574087944037736,0.03776867559856805,0.037647427530943293
V,0.0007132260921207154,0.0007132260921207154,0.043051173241605574,0.04291296687133186
WMT,0.001490545691706252,0.001490545691706252,0.03442631467786484,0.034315796528525996
XOM,0.0040090869963508675,0.0040090869963508675,0.05627502265571073,0.056094364010830865
