Date,sp600,sp500
2020-01-02,30.053529739379883,3257.85009765625
2020-01-03,29.93386459350586,3234.85009765625
2020-01-06,29.9982967376709,3246.280029296875
2020-01-07,29.91545867919922,3237.179931640625
2020-01-08,29.970687866210938,3253.050048828125
2020-01-09,30.016714096069336,3274.699951171875
2020-01-10,29.878633499145508,3265.35009765625
2020-01-13,30.09954261779785,3288.1298828125
2020-01-14,30.26523780822754,3283.14990234375
2020-01-15,30.357282638549805,3289.2900390625
2020-01-16,30.716270446777344,3316.81005859375
2020-01-17,30.6334285736084,3329.6201171875
2020-01-21,30.375696182250977,3320.7900390625
2020-01-22,30.357282638549805,3321.75
2020-01-23,30.34807586669922,3325.5400390625
2020-01-24,29.906253814697266,3295.469970703125
2020-01-27,29.51045036315918,3243.6298828125
2020-01-28,29.78658676147461,3276.239990234375
2020-01-29,29.54726219177246,3273.39990234375
2020-01-30,29.528860092163086,3283.659912109375
2020-01-31,28.847707748413086,3225.52001953125
2020-02-03,29.105436325073242,3248.919921875
2020-02-04,29.464427947998047,3297.590087890625
2020-02-05,30.03512191772461,3334.68994140625
2020-02-06,29.924657821655273,3345.780029296875
2020-02-07,29.492040634155273,3327.7099609375
2020-02-10,29.602487564086914,3352.090087890625
2020-02-11,29.832612991333008,3357.75
2020-02-12,30.02591323852539,3379.449951171875
2020-02-13,30.117961883544922,3373.93994140625
2020-02-14,29.979888916015625,3380.159912109375
2020-02-18,29.832612991333008,3370.2900390625
2020-02-19,29.91545867919922,3386.14990234375
2020-02-20,30.071935653686523,3373.22998046875
2020-02-21,29.731367111206055,3337.75
2020-02-24,28.847707748413086,3225.889892578125
2020-02-25,27.881202697753906,3128.2099609375
2020-02-26,27.522218704223633,3116.389892578125
2020-02-27,26.463674545288086,2978.760009765625
2020-02-28,26.141504287719727,2954.219970703125
2020-03-02,26.758222579956055,3090.22998046875
2020-03-03,26.17833137512207,3003.3701171875
2020-03-04,26.96072769165039,3130.1201171875
2020-03-05,26.040252685546875,3023.93994140625
2020-03-06,25.570816040039062,2972.3701171875
2020-03-09,23.0487060546875,2746.56005859375
2020-03-10,23.711450576782227,2882.22998046875
2020-03-11,22.330738067626953,2741.3798828125
2020-03-12,19.734994888305664,2480.639892578125
2020-03-13,21.35503578186035,2711.02001953125
2020-03-16,18.501554489135742,2386.1298828125
2020-03-17,19.679765701293945,2529.18994140625
2020-03-18,17.83881378173828,2398.10009765625
2020-03-19,18.630422592163086,2409.389892578125
2020-03-20,17.811203002929688,2304.919921875
2020-03-23,17.541963577270508,2237.39990234375
2020-03-24,19.16108512878418,2447.330078125
2020-03-25,19.327617645263672,2475.56005859375
2020-03-26,20.62291145324707,2630.070068359375
2020-03-27,19.790224075317383,2541.469970703125
2020-03-30,20.24357795715332,2626.64990234375
2020-03-31,20.206571578979492,2584.590087890625
2020-04-01,18.791000366210938,2470.5
2020-04-02,19.050058364868164,2526.89990234375
2020-04-03,18.3839054107666,2488.64990234375
2020-04-06,19.82723617553711,2663.679931640625
2020-04-07,19.975269317626953,2659.409912109375
2020-04-08,20.891223907470703,2749.97998046875
2020-04-09,21.97371482849121,2789.820068359375
2020-04-13,21.233549118041992,2761.6298828125
2020-04-14,21.59438133239746,2846.06005859375
2020-04-15,20.585901260375977,2783.360107421875
2020-04-16,20.4378719329834,2799.550048828125
2020-04-17,21.36307716369629,2874.56005859375
2020-04-20,20.937484741210938,2823.159912109375
2020-04-21,20.484132766723633,2736.56005859375
2020-04-22,20.632165908813477,2799.31005859375
2020-04-23,20.900476455688477,2797.800048828125
2020-04-24,21.1595401763916,2836.739990234375
2020-04-27,22.047739028930664,2878.47998046875
2020-04-28,22.519588470458984,2863.389892578125
2020-04-29,23.74087142944336,2939.510009765625
2020-04-30,22.806411743164062,2912.429931640625
2020-05-01,21.881196975708008,2830.7099609375
2020-05-04,21.77942657470703,2842.739990234375
2020-05-05,21.844192504882812,2868.43994140625
2020-05-06,21.585126876831055,2848.419921875
2020-05-07,21.89044952392578,2881.18994140625
2020-05-08,22.806411743164062,2929.800048828125
2020-05-11,22.41781997680664,2930.18994140625
2020-05-12,21.557369232177734,2870.1201171875
2020-05-13,20.724685668945312,2820.0
2020-05-14,20.81720733642578,2852.5
2020-05-15,21.067014694213867,2863.699951171875
2020-05-18,22.575109481811523,2953.909912109375
2020-05-19,22.13100242614746,2922.93994140625
2020-05-20,22.82491111755371,2971.610107421875
2020-05-21,22.8526668548584,2948.510009765625
2020-05-22,22.945188522338867,2955.449951171875
2020-05-26,23.888898849487305,2991.77001953125
2020-05-27,24.795604705810547,3036.1298828125
2020-05-28,24.046186447143555,3029.72998046875
2020-05-29,23.796382904052734,3044.31005859375
2020-06-01,24.02768325805664,3055.72998046875
2020-06-02,24.314495086669922,3080.820068359375
2020-06-03,25.174942016601562,3122.8701171875
2020-06-04,25.517271041870117,3112.35009765625
2020-06-05,26.664535522460938,3193.929931640625
2020-06-08,27.191896438598633,3232.389892578125
2020-06-09,26.544254302978516,3207.179931640625
2020-06-10,25.56352996826172,3190.139892578125
2020-06-11,23.500314712524414,3002.10009765625
2020-06-12,24.0646915435791,3041.31005859375
2020-06-15,24.610565185546875,3066.590087890625
2020-06-16,25.24896240234375,3124.739990234375
2020-06-17,24.666078567504883,3113.489990234375
2020-06-18,24.601316452026367,3115.340087890625
2020-06-19,24.305246353149414,3097.739990234375
2020-06-22,24.47709846496582,3117.860107421875
2020-06-23,24.560699462890625,3131.2900390625
2020-06-24,23.706098556518555,3050.330078125
2020-06-25,24.086952209472656,3083.760009765625
