Scenario,Expected Return,VaR 90%,VaR 95%,VaR 99%,CVaR 90%,CVaR 95%,CVaR 99%
Scenario_1,0.00014656767340029316,-0.00020772115792825336,-0.00030972665675562327,-0.0004946633330771961,-0.00034097850162695777,-0.0004264220575264989,-0.0005948835903634134
Scenario_2,-0.00017702772754770105,-0.0005390498665927614,-0.000647241261321087,-0.0008476309672317978,-0.0006797036231902751,-0.000770368945882574,-0.0009373203138369543
Scenario_3,-0.0002997349984042216,-0.0006445625446295889,-0.0007456525764332531,-0.0009453281467973922,-0.0007786074341429686,-0.0008664978985090185,-0.0010414512793942455
Scenario_4,-5.082076572299597e-05,-0.00039220322094760097,-0.0004940421150617313,-0.0006844726717778043,-0.0005240162765674474,-0.000609234773167119,-0.0007716223100971243
Scenario_5,-0.0004558002067162195,-0.0008036262456713835,-0.0009004836335052386,-0.0010858384415952647,-0.0009296765876813408,-0.001013117963434583,-0.0011861786811149498
