Date,3M T-Bill Rate,10Y Treasury Yield
2020-01-02,0.014950000047683716,0.01881999969482422
2020-01-03,0.014730000495910644,0.01787999987602234
2020-01-06,0.014880000352859498,0.018109999895095825
2020-01-07,0.015,0.018270000219345092
2020-01-08,0.014930000305175781,0.018739999532699586
2020-01-09,0.015,0.018580000400543212
2020-01-10,0.014980000257492066,0.01825000047683716
2020-01-13,0.015099999904632568,0.018480000495910646
2020-01-14,0.015299999713897705,0.018179999589920046
2020-01-15,0.015080000162124635,0.01787999987602234
2020-01-16,0.015180000066757203,0.018090000152587892
2020-01-17,0.015230000019073486,0.018359999656677246
2020-01-21,0.01503000020980835,0.01769000053405762
2020-01-22,0.015130000114440918,0.01769000053405762
2020-01-23,0.015149999856948853,0.01740000009536743
2020-01-24,0.014900000095367431,0.01680999994277954
2020-01-27,0.015049999952316285,0.016050000190734864
2020-01-28,0.015299999713897705,0.016410000324249267
2020-01-29,0.015199999809265136,0.01593999981880188
2020-01-30,0.01527999997138977,0.015579999685287475
2020-01-31,0.015099999904632568,0.015199999809265136
2020-02-03,0.015180000066757203,0.015199999809265136
2020-02-04,0.015379999876022338,0.01603000044822693
2020-02-05,0.015199999809265136,0.0164900004863739
2020-02-06,0.015299999713897705,0.016440000534057617
2020-02-07,0.015180000066757203,0.015779999494552614
2020-02-10,0.015199999809265136,0.015470000505447388
2020-02-11,0.015379999876022338,0.01590000033378601
2020-02-12,0.01534999966621399,0.016299999952316284
2020-02-13,0.015449999570846558,0.016169999837875367
2020-02-14,0.01534999966621399,0.015880000591278077
2020-02-18,0.01534999966621399,0.015559999942779542
2020-02-19,0.015429999828338623,0.015700000524520873
2020-02-20,0.015379999876022338,0.015249999761581421
2020-02-21,0.015180000066757203,0.014709999561309814
2020-02-24,0.01503000020980835,0.013769999742507935
2020-02-25,0.014900000095367431,0.013300000429153443
2020-02-26,0.01478000044822693,0.01309999942779541
2020-02-27,0.013949999809265137,0.012990000247955323
2020-02-28,0.012300000190734864,0.011269999742507935
2020-03-02,0.011349999904632568,0.010880000591278076
2020-03-03,0.009179999828338623,0.010099999904632569
2020-03-04,0.00675000011920929,0.009919999837875367
2020-03-05,0.005950000286102295,0.009259999990463256
2020-03-06,0.004149999916553498,0.007059999704360962
2020-03-09,0.0033000001311302186,0.004990000128746033
2020-03-10,0.0038999998569488525,0.0074800002574920655
2020-03-11,0.0036800000071525573,0.008199999928474427
2020-03-12,0.0027300000190734865,0.008489999771118164
2020-03-13,0.0024300000071525575,0.009509999752044678
2020-03-16,0.0018500000238418578,0.007279999852180481
2020-03-17,0.0016500000655651093,0.00996999979019165
2020-03-18,3.0000000260770322e-05,0.012660000324249267
2020-03-19,-0.00028000000864267347,0.011189999580383301
2020-03-20,-0.00032999999821186065,0.009380000233650208
2020-03-23,-0.00039999999105930326,0.007639999985694885
2020-03-24,-0.00032999999821186065,0.008159999847412109
2020-03-25,-0.0007000000029802323,0.008579999804496766
2020-03-26,-0.0010499999672174453,0.008109999895095825
2020-03-27,-0.0005799999833106995,0.007490000128746033
2020-03-30,0.00013000000268220902,0.006700000166893006
2020-03-31,0.00029999999329447744,0.006980000138282776
2020-04-01,0.0006300000101327896,0.006349999904632569
2020-04-02,0.0006499999761581421,0.0062699997425079345
2020-04-03,0.0005799999833106995,0.005870000123977661
2020-04-06,0.0005999999865889549,0.006759999990463257
2020-04-07,0.0012800000607967378,0.007360000014305115
2020-04-08,0.0018500000238418578,0.007639999985694885
2020-04-09,0.0020999999344348905,0.007289999723434448
2020-04-13,0.0020000000298023225,0.007490000128746033
2020-04-14,0.0016500000655651093,0.007519999742507935
2020-04-15,0.0011500000208616258,0.006380000114440918
2020-04-16,0.0010999999940395355,0.00609000027179718
2020-04-17,0.001030000001192093,0.006539999842643738
2020-04-20,0.0007000000029802323,0.006259999871253967
2020-04-21,0.0009799999743700027,0.005709999799728393
2020-04-22,0.0009300000220537186,0.006190000176429749
2020-04-23,0.0009300000220537186,0.006129999756813049
2020-04-24,0.0010000000149011613,0.005960000157356263
2020-04-27,0.0009300000220537186,0.00656000018119812
2020-04-28,0.0008500000089406968,0.006100000143051148
2020-04-29,0.0009000000357627869,0.0062699997425079345
2020-04-30,0.0009000000357627869,0.00621999979019165
2020-05-01,0.0009300000220537186,0.006420000195503235
2020-05-04,0.0009000000357627869,0.00637000024318695
2020-05-05,0.0010999999940395355,0.006570000052452087
2020-05-06,0.001080000028014183,0.0071100002527236935
2020-05-07,0.000949999988079071,0.006309999823570251
2020-05-08,0.000949999988079071,0.006819999814033508
2020-05-11,0.0010499999672174453,0.007260000109672546
2020-05-12,0.0012300000339746475,0.006779999732971192
2020-05-13,0.0011500000208616258,0.006489999890327454
2020-05-14,0.0010499999672174453,0.006190000176429749
2020-05-15,0.001030000001192093,0.006399999856948852
2020-05-18,0.0010499999672174453,0.007440000176429749
2020-05-19,0.0011800000071525575,0.0071100002527236935
2020-05-20,0.0011800000071525575,0.006800000071525574
2020-05-21,0.0010999999940395355,0.006769999861717224
2020-05-22,0.0010999999940395355,0.006570000052452087
2020-05-26,0.0011800000071525575,0.006980000138282776
2020-05-27,0.0013500000536441803,0.006800000071525574
2020-05-28,0.001379999965429306,0.007049999833106994
2020-05-29,0.0012800000607967378,0.006480000019073486
2020-06-01,0.0012800000607967378,0.0066200000047683715
2020-06-02,0.0014499999582767487,0.006800000071525574
2020-06-03,0.0014800000190734863,0.007609999775886536
2020-06-04,0.0014000000059604645,0.008199999928474427
2020-06-05,0.0014499999582767487,0.009039999842643738
